"Repeat","Value","Convergence","pE","alpha","k","a","omega","p","eta","mu","R0"
104,62556.4361605147,"Successful completion",0.0010201156615857,0.999975978527354,0.279053670105146,0.549148736245096,0.0636686225978483,0.0197693067497438,3.29734480293967e-05,0.00226258952962524,2.49716796736549
105,57549.7524011977,"Successful completion",8.52354471159031e-05,0.255010556958721,0.961840470812319,3.6474567165725,0.0814097934856174,0.0182226816903479,3.19990562325493e-05,0.00228343755959112,2.49774559433165
106,95978.6067501587,"Successful completion",2.62525199928e-05,0.024538256503274,0.98066304635587,4.37241745071346,0.988310694134634,0.116956984509587,2.60249036210293e-05,0.00242688466449822,3.38867466459099
107,69182.7597493352,"Successful completion",8.5839795577183e-05,0.992708866312578,0.924762593491665,3.50494082660192,0.993117533804541,0.0115198484053819,2.68055741764242e-05,0.00238213744791663,2.47427973909715
108,87135.0801654655,"Successful completion",0.0012312663879897,0.0865838494301575,0.96804041267919,3.60400639312177,0.0232932113878381,0.158867218310424,3.76251430331353e-05,0.00218399564887883,2.50143349011162
109,80332.2115267272,"Successful completion",2.96878193731507e-05,0.0214560640446911,0.919133848079399,3.41557761755742,0.0500946027503322,0.199991249342773,3.4306727407148e-05,0.00224164906488961,2.5916863202184
110,57703.397656287,"Successful completion",0.000183362130121507,0.306990088672765,0.814483453908742,3.23316539834305,0.0880749184748034,0.016853431034854,3.16145420894156e-05,0.00229154301463661,2.4974978935465
111,153760.570529402,"Successful completion",0.00986001001695672,0.875428212075461,0.962375918180808,2.58878029074438,0.00452934590799036,0.144670667922695,4.53139856186796e-05,0.00208983540233619,2.49854896782084
112,57896.6345220478,"Successful completion",0.00125315497463072,0.997360143104389,0.871569784484998,3.35986345731671,0.0533096850477926,0.0262373144188636,3.37591191681331e-05,0.00225402784300901,2.49685384385882
113,147885.711384469,"Successful completion",5.01634563747305e-11,0.999864576429886,0.837683511252074,3.5357407285844,0.000630822216280013,0.199999999985839,4.32540371825179e-05,0.00208598802216341,2.49971613427468
114,69412.8927090129,"Successful completion",5.18367087888683e-05,0.38703435993402,0.898499808936523,3.37793767162909,0.989304289870032,0.0131876655917957,2.68939599881593e-05,0.00238356316193153,2.4758107617333
115,70611.5156203313,"Successful completion",0.000141572760614483,0.995778229625778,0.724911971960098,2.77215587188307,0.696282438914877,0.0128064021072139,2.72647181106256e-05,0.00236822007244014,2.47994648713892
116,156656.644229116,"Successful completion",0.00996773106185689,0.754727648981643,0.459535406086965,0.728151470477782,0.00625033708955665,0.104291664171194,4.5216571319127e-05,0.00207793330794062,2.49858627978745
