"Repeat","Value","Convergence","pE","alpha","k","a","omega","p","eta","mu","R0","group"
97,62409.6859271561,"Successful completion",0.000821851988045312,0.922595434154673,0.977129543921564,3.52079448778911,0.114008045436788,0.0315597207718066,3.06729528885809e-05,0.00230374313313202,2.49197982851146,"seed123_n300"
98,80483.303386219,"Successful completion",0.00287474276677115,0.981271048574721,0.954013262486501,3.29675496158287,0.0186520249198132,0.0416356840916361,4.07276938945852e-05,0.00208854231693826,2.4982563784911,"seed123_n300"
99,55326.3186301957,"Successful completion",0.000808863492726774,0.973674649965358,0.95686223078624,3.67016660588408,0.080092907715274,0.0200297059706772,3.19743450253708e-05,0.0022805043400323,2.49640130935458,"seed123_n300"
100,81793.8496289606,"Successful completion",0.000460947470387585,0.0669063905727821,0.851688801469408,2.95504729941905,0.125952079877364,0.082959474082604,3.01276094238652e-05,0.00232688052397016,2.51292075459471,"seed123_n300"
101,63699.7385450097,"Successful completion",0.00165129375214407,0.777062548151834,0.79325194675864,3.03779326291295,0.0340033596109327,0.0305114669233337,3.61172604058396e-05,0.0022030042407882,2.49774005568294,"seed123_n300"
102,55096.6279626364,"Successful completion",0.000799852791317904,0.996127183637889,0.999999999919302,3.80425528140996,0.0785674636178949,0.019065573943801,3.21495719785801e-05,0.00228319049639692,2.49663110492306,"seed123_n300"
103,123269.044348209,"Successful completion",0.00149970353987061,0.0733879255270971,0.348776292702115,0.150481150929535,0.0321001273772718,0.0408491086302646,3.68816392119326e-05,0.00222512280282018,2.501188730668,"seed123_n300"
104,163850.175374087,"Successful completion",0.00999995267283517,0.354660000866868,0.69580638429542,1.73741682669704,0.00441688743685401,0.161292607268324,4.58751913239113e-05,0.00210210238925376,2.49872115082428,"seed123_n300"
105,55951.1382123284,"Successful completion",0.000693999506768097,0.988582498715519,0.954410135144832,3.61673161704037,0.100094609625102,0.0173192094754988,3.13886352532259e-05,0.00229650542884614,2.4961044964776,"seed123_n300"
106,95519.0735978752,"Successful completion",0.00287963059302523,0.334867468964115,0.900247372360248,3.26728068561098,0.00755757241319593,0.198327928722221,4.13726738218176e-05,0.002122387882573,2.49737181392423,"seed123_n300"
107,96940.7132686657,"Successful completion",0.00353889095375479,0.755248634011158,0.552225157105086,2.0077451431637,0.00618942548470293,0.19875979706064,4.19978973510438e-05,0.00211250141498246,2.49733169747063,"seed123_n300"
108,93870.1190937237,"Successful completion",0.00139270628750326,0.0701670012818882,0.485863653945338,1.58638031779011,0.0114633875754748,0.199767153049935,4.08709106045044e-05,0.00212796892559982,2.50243411480603,"seed123_n300"
109,64057.8519625934,"Successful completion",0.000739757045353136,0.889130534981928,0.60122845847725,2.6869486234961,0.0505291212687124,0.0157857056627332,3.5405755507012e-05,0.00217672181155441,2.49823018008246,"seed123_n300"
110,58165.4267784879,"Successful completion",0.000830492347499436,0.994487024333378,0.591872934684392,2.44438636421753,0.0800566016109388,0.0196420069020926,3.18509276650412e-05,0.00228820474210897,2.49646411654149,"seed123_n300"
111,180196.980383497,"Successful completion",0.00999993010054524,0.384511554685612,0.403006333492367,0.302739104791306,0.00980443661830438,0.0597036009786433,4.43013565532182e-05,0.00211282071247693,2.49891718642479,"seed123_n300"
112,92693.8116735083,"Successful completion",0.00124163105376938,0.0594588000934794,0.367727485226773,0.998986171571429,0.0242190520589275,0.184058709979093,3.77373005436535e-05,0.00218606458400869,2.50759860695835,"seed123_n300"
113,64017.3722085587,"Successful completion",0.000979727699141184,0.956840836326176,0.238872303158062,0.0851393646976323,0.0692861135495088,0.0180872453250561,3.27183089458167e-05,0.00225520621765976,2.49719444302009,"seed123_n300"
114,97559.8966906142,"Successful completion",0.00373537433777726,0.970743311422792,0.325363655870302,0.666666075952458,0.00652442990945688,0.189317151929235,4.18962531794832e-05,0.00211494879877873,2.49723013704937,"seed123_n300"
115,341003.547416924,"Successful completion",0.000230137732696699,0.787494152459454,0.0561456714885918,41.0037310809138,0.0370255491701161,0.193064597360422,3.50509935858789e-05,0.00220831629193382,2.48439851880148,"seed123_n300"
116,57342.7038289964,"Successful completion",0.00070277472861387,0.804939939098567,0.670037474830867,2.76994089386112,0.0824123506982753,0.0175566538852572,3.19036699825592e-05,0.00228123153035659,2.49683216393928,"seed123_n300"
117,148259.228317407,"Successful completion",0.0094385997520206,0.638999464156981,0.79668870456607,2.1417460144437,0.0039946028123613,0.18395283094269,4.55571088534561e-05,0.00207205515692179,2.49845044167594,"seed123_n300"
118,60390.1709929773,"Successful completion",0.00088816012065149,0.999990561246551,0.500381946153821,1.9295814266834,0.06886433106641,0.0136591233910657,3.26855951017025e-05,0.00226391239377231,2.49788359283023,"seed123_n300"
119,96536.9813765131,"Successful completion",0.00360595264777089,0.999520108422307,0.725849563022064,2.69674532663144,0.00628581615812299,0.197739378922446,4.19498956696182e-05,0.00211278267842036,2.49720350408027,"seed123_n300"
120,58661.4414533478,"Successful completion",0.000142557253813735,0.228958532780187,0.757584570253973,2.96258143146396,0.091095534811621,0.0209170298666344,3.14402621372807e-05,0.00228941183017826,2.49731694012153,"seed123_n300"
121,91145.2956251765,"Successful completion",0.00317133330155818,0.61279806139355,0.910030702500286,3.26003307876245,0.00803179487720554,0.13947304611483,4.13303753656453e-05,0.0021175758359302,2.49765646256467,"seed123_n300"
122,90318.4013292966,"Successful completion",0.0028536748693294,0.574333598750418,0.994558605238202,3.49575241055397,0.0148926253408122,0.140501117728173,3.94624562703312e-05,0.00215646638893773,2.49567973171714,"seed123_n300"
123,93642.558207602,"Successful completion",0.00330756603906809,0.980277190682706,0.927939487129299,3.35759036408037,0.00776768883515739,0.168120664068023,4.1397528456159e-05,0.00211941347676365,2.49706827333802,"seed123_n300"
124,58974.9374810737,"Successful completion",0.00100217734186711,0.923121657216521,0.788586440398566,3.19347820303001,0.066342945549709,0.029239716335964,3.34971102128895e-05,0.00222573684731623,2.49567572801469,"seed123_n300"
125,291322.792070293,"Successful completion",6.24651033961879e-05,0.940921045992399,0.975675113480356,279.842332375793,0.061044276659381,0.0473503846559896,3.29981763602661e-05,0.00225091406729361,2.49354181456012,"seed123_n300"
126,149837.758192019,"Successful completion",0.00997185985492156,0.999616461131116,0.571488592695859,1.30994243314651,0.00343699568083974,0.174334730327143,4.58343064992816e-05,0.00207349397914709,2.49865188511589,"seed123_n300"
127,55243.1687365192,"Successful completion",0.000846409769191678,0.962510402576407,0.982014233063819,3.74292233107647,0.0738331595764534,0.0201494516245805,3.23939689749843e-05,0.00227767516958667,2.49666716661187,"seed123_n300"
